,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 16 5 0.0003 0.0 0.1 150 0.3,5.924509882926941,5.959046959877014,495.7895202636719,441.6497116088867,16.256916522979736,15.541149377822876
simple_nn 16 3 0.0003 0.0 0.1 150 0.1,5.949487209320068,5.969193935394287,490.48360443115234,439.8464584350586,16.188761711120605,15.589828252792358
simple_nn 16 5 0.0003 0.0 0.05 50 0.1,5.98410701751709,6.0018932819366455,495.3441925048828,437.26201248168945,16.203413486480713,15.624803066253662
simple_nn 16 3 0.0003 0.0 0.05 50 0.1,6.123143196105957,6.109907388687134,493.36875915527344,451.2203598022461,16.28015661239624,15.78582763671875
simple_nn 16 3 0.0003 0.0 0.1 300 0.3,6.004583120346069,6.114494323730469,493.78697204589844,467.2216262817383,16.194302320480347,15.938645124435425
simple_nn 16 5 0.0003 0.0 0.05 450 0.1,6.114088416099548,6.12294065952301,491.5939636230469,436.5523376464844,16.22536873817444,15.472491025924683
simple_nn 16 5 0.0003 0.0 0.1 50 0.1,6.080721735954285,6.161794304847717,500.09642791748047,463.6263198852539,16.193277835845947,15.668884992599487
simple_nn 16 3 0.0003 0.0 0.1 50 0.1,6.107604742050171,6.188363194465637,495.6034927368164,459.2975540161133,16.217328786849976,15.905938863754272
simple_nn 16 5 0.0003 0.0 0.1 300 0.1,6.227227330207825,6.197425365447998,492.7203369140625,454.63988494873047,16.31849241256714,15.718343257904053
simple_nn 16 5 0.0003 0.0 0.1 150 0.2,6.18382465839386,6.226350545883179,495.82445526123047,454.9644546508789,16.226017713546753,15.73315167427063
simple_nn 16 5 0.0003 0.0 0.1 50 0.2,6.167107701301575,6.229977369308472,492.0424270629883,449.05350494384766,16.31361150741577,16.01620841026306
simple_nn 16 3 0.0003 0.0 0.1 300 0.1,6.183349370956421,6.239194750785828,492.23121643066406,469.0131530761719,16.278954029083252,15.894046068191528
simple_nn 16 5 0.0003 0.0 0.1 450 0.3,6.1626763343811035,6.301719546318054,491.80948638916016,452.01580810546875,16.240628242492676,15.680556774139404
simple_nn 16 3 0.0003 0.0 0.1 150 0.2,6.255760550498962,6.313481330871582,491.53247833251953,443.3438262939453,16.189094066619873,15.453239679336548
simple_nn 16 5 0.0003 0.0 0.1 450 0.1,6.323134779930115,6.337141394615173,492.2093734741211,441.6798095703125,16.26020908355713,15.628598928451538
simple_nn 16 3 0.0003 0.0 0.1 150 0.3,6.299028515815735,6.342561602592468,496.6744918823242,447.19544982910156,16.301563501358032,15.793789625167847
simple_nn 16 5 0.0003 0.0 0.1 150 0.1,6.229909062385559,6.351997017860413,486.94544219970703,465.3567428588867,16.055627822875977,15.520264625549316
simple_nn 16 3 0.0003 0.0 0.1 50 0.2,6.417427182197571,6.36468768119812,498.40157318115234,449.1651840209961,16.204716205596924,15.629129409790039
simple_nn 16 5 0.0003 0.0 0.1 450 0.2,6.367305040359497,6.369349479675293,492.57149505615234,462.16346740722656,16.27600336074829,15.839062690734863
simple_nn 16 3 0.0003 0.0 0.1 50 0.3,6.334545850753784,6.38618278503418,493.0719451904297,455.8752746582031,16.235227823257446,15.627046823501587
