,mean_train_loss,mean_val_loss,mean_train_mse,mean_val_mse,mean_train_mae,mean_val_mae
simple_nn 16 1 0.0001 0.0 0.01,46.48552227020264,84.26733589172363,18.358272075653076,74.74689388275146,3.3247329592704773,5.995704650878906
simple_nn 16 1 0.0001 0.0 0.02,59.401936531066895,81.67903518676758,25.096805095672607,63.91419219970703,3.831143856048584,5.496210813522339
simple_nn 16 1 0.0001 0.0 0.05,53.207401275634766,82.8060302734375,32.436885356903076,76.58041000366211,4.366097569465637,6.0742411613464355
simple_nn 16 1 0.0001 0.0 0.1,78.42304420471191,94.31010437011719,39.27568817138672,65.49623584747314,4.874778747558594,5.863101243972778
simple_nn 16 1 0.0001 0.05 0.01,61.79484462738037,81.95934677124023,33.46893262863159,65.63376045227051,4.438262462615967,5.565633058547974
simple_nn 16 1 0.0001 0.05 0.02,89.33574390411377,113.4432430267334,36.132712841033936,75.95523738861084,4.600213646888733,5.92968475818634
simple_nn 16 1 0.0001 0.05 0.05,70.29552936553955,85.13894271850586,48.1069450378418,73.0431547164917,5.298014998435974,5.878624677658081
simple_nn 16 1 0.0001 0.05 0.1,123.9007682800293,136.84416007995605,51.07535266876221,71.50842666625977,5.540197491645813,5.77078378200531
simple_nn 16 1 0.0001 0.1 0.01,70.53203773498535,91.13628578186035,41.56025791168213,68.7729263305664,4.953050017356873,5.614847898483276
simple_nn 16 1 0.0001 0.1 0.02,105.06950378417969,120.85362815856934,53.60749530792236,70.80330467224121,5.6344064474105835,5.834530591964722
simple_nn 16 1 0.0001 0.1 0.05,71.94299125671387,85.18531608581543,56.62841606140137,71.69226837158203,5.739548087120056,5.921907305717468
simple_nn 16 1 0.0001 0.1 0.1,87.47215461730957,99.19234466552734,57.51435470581055,71.66723155975342,5.750152587890625,5.762644410133362
simple_nn 16 1 0.0001 0.125 0.01,82.11112213134766,101.18509483337402,51.867180824279785,80.86483573913574,5.614414811134338,6.222323179244995
simple_nn 16 1 0.0001 0.125 0.02,79.45526885986328,89.06769561767578,54.84426021575928,64.46136665344238,5.788840055465698,5.573016285896301
simple_nn 16 1 0.0001 0.125 0.05,74.76232147216797,84.69735145568848,56.096784591674805,64.71220111846924,5.727667570114136,5.725659966468811
simple_nn 16 1 0.0001 0.125 0.1,86.7511100769043,99.73150634765625,65.66996002197266,81.44110870361328,6.269631505012512,6.29059898853302
simple_nn 16 1 0.0002 0.0 0.01,46.38585710525513,68.46677684783936,20.937217712402344,73.21730041503906,3.4988043308258057,5.837599396705627
simple_nn 16 1 0.0002 0.0 0.02,31.55092430114746,45.68654823303223,32.43388652801514,70.4536485671997,4.240597665309906,5.803843379020691
simple_nn 16 1 0.0002 0.0 0.05,38.200478076934814,49.15388870239258,44.65371608734131,69.6637372970581,5.12943708896637,5.811001300811768
simple_nn 16 1 0.0002 0.0 0.1,47.50066089630127,54.66969108581543,54.51374530792236,84.96283912658691,5.672926068305969,6.455856084823608
simple_nn 16 1 0.0002 0.05 0.01,27.23663902282715,39.740092277526855,35.700294971466064,66.21158599853516,4.54963356256485,5.700361847877502
simple_nn 16 1 0.0002 0.05 0.02,34.63384389877319,45.25212383270264,48.34858512878418,75.8703260421753,5.304464936256409,5.8190507888793945
simple_nn 16 1 0.0002 0.05 0.05,46.596120834350586,55.64728832244873,49.042908668518066,68.97421741485596,5.385138273239136,5.87308394908905
